date,usd_rate
4/1/10,113.95
3/1/10,114.05
2/1/10,114.625
1/1/10,114.65
12/1/09,114.4
11/1/09,114.41
10/1/09,114.8
9/1/09,114.82
8/1/09,114.7
7/1/09,114.85
6/1/09,114.92
5/1/09,114.9
4/1/09,120.1
3/1/09,115.8
2/1/09,114.23
1/1/09,113.92
12/1/08,113
11/1/08,110.05
10/1/08,110.25
9/1/08,108.15
8/1/08,107.87
7/1/08,107.6
6/1/08,107.7
5/1/08,107.885
4/1/08,107.875
3/1/08,107.8
2/1/08,107.85
1/1/08,107.84
12/1/07,108.65
11/1/07,110.475
10/1/07,110.95
9/1/07,113.44
8/1/07,113.025
7/1/07,111.78
6/1/07,111.385
5/1/07,110.87
4/1/07,110.6
3/1/07,108.65
2/1/07,108.79
1/1/07,108.58
12/1/06,107.45
11/1/06,108.1
10/1/06,108.025
9/1/06,103.76
8/1/06,102.19
7/1/06,103.97
6/1/06,103.97
5/1/06,103
4/1/06,102.8
3/1/06,102.575
2/1/06,102.58
1/1/06,102.12
12/1/05,102.11
11/1/05,102
10/1/05,101.88
9/1/05,101.33
8/1/05,101.25
7/1/05,100.7
6/1/05,100.15
5/1/05,99.925
4/1/05,99.775
3/1/05,99.7
2/1/05,99.5
1/1/05,99.05
12/1/04,104.475
11/1/04,104.825
10/1/04,104.15
9/1/04,103.58
8/1/04,103.125
7/1/04,103.625
6/1/04,102.35
5/1/04,99.2
4/1/04,98.3
3/1/04,97.6
2/1/04,98.585
1/1/04,97.28
12/1/03,96.55
11/1/03,96.425
10/1/03,94.76
9/1/03,94.36
8/1/03,96.83
7/1/03,97.14
6/1/03,97.155
5/1/03,97.23
4/1/03,97.13
3/1/03,96.945
2/1/03,96.89
1/1/03,96.8
12/1/02,96.6
11/1/02,96.275
10/1/02,96.25
9/1/02,96.25
8/1/02,96.2
7/1/02,96.08
6/1/02,96.15
5/1/02,96.15
4/1/02,96.05
3/1/02,95.6
2/1/02,93.6
1/1/02,93.45
12/1/01,93
11/1/01,93.15
10/1/01,91.75
9/1/01,90.05
8/1/01,89.875
7/1/01,89.9
6/1/01,90.625
5/1/01,91.825
4/1/01,90.45
3/1/01,86.35
2/1/01,86.5
1/1/01,89.5
12/1/00,82.7
11/1/00,81.45
10/1/00,79.41
9/1/00,79.15
8/1/00,78.05
7/1/00,78.35
6/1/00,78.9
5/1/00,74.735
4/1/00,74.3
3/1/00,73.75
2/1/00,73.475
1/1/00,73.15
12/1/99,71.5
11/1/99,72.1
10/1/99,71.55
9/1/99,71.73
8/1/99,71.8
7/1/99,71.6
6/1/99,71.55
5/1/99,70.85
4/1/99,69.625
3/1/99,69.425
2/1/99,69.53
1/1/99,68.825
12/1/98,68.43
11/1/98,67.9
10/1/98,67.075
9/1/98,65.985
8/1/98,66.525
7/1/98,65.925
6/1/98,65.4
5/1/98,65
4/1/98,63.305
3/1/98,62.375
2/1/98,61.675
1/1/98,62.25
12/1/97,61.75
11/1/97,60.75
10/1/97,59.775
9/1/97,59.75
8/1/97,59.285
7/1/97,58.85
6/1/97,58.49
5/1/97,58.305
4/1/97,59.2
3/1/97,58.33
2/1/97,57.5
1/1/97,57.69
12/1/96,56.73
11/1/96,56.63
10/1/96,57.05
9/1/96,56.6
8/1/96,55.6
7/1/96,55.12
6/1/96,55.505
5/1/96,54.95
4/1/96,54.735
3/1/96,53.685
2/1/96,53.685
1/1/96,53.685
12/1/95,54.05
11/1/95,53.25
10/1/95,52.585
9/1/95,52.54
8/1/95,51.65
7/1/95,50.59
6/1/95,50.345
5/1/95,49.605
4/1/95,49.36
3/1/95,49.45
2/1/95,49.88
1/1/95,49.96
12/1/94,49.62
11/1/94,49.43
10/1/94,48.94
9/1/94,49.28
8/1/94,49.23
7/1/94,49.1
6/1/94,49.09
5/1/94,49.33
4/1/94,48.75
3/1/94,48.8
2/1/94,48.95
1/1/94,49.43
12/1/93,49.3
11/1/93,49.3
10/1/93,49.05
9/1/93,48.93
8/1/93,48.88
7/1/93,48.75
6/1/93,48.2
5/1/93,47.92
4/1/93,47.81
3/1/93,47.45
2/1/93,46.52
1/1/93,46.2
12/1/92,46.1
11/1/92,44.45
10/1/92,44.34
9/1/92,44.2
8/1/92,44
7/1/92,44.2
6/1/92,44.17
5/1/92,43.47
4/1/92,43.37
3/1/92,43.07
2/1/92,43.05
1/1/92,42.68
12/1/91,42.53
11/1/91,42.43
10/1/91,42.26
9/1/91,42.01
8/1/91,41.88
7/1/91,41.42
6/1/91,41.19
5/1/91,41.12
4/1/91,40.94
3/1/91,40.78
2/1/91,40.72
1/1/91,40.4
12/1/90,40.24
11/1/90,40.31
10/1/90,40.4
9/1/90,40.01
8/1/90,39.94
7/1/90,40.02
6/1/90,40.02
5/1/90,40.12
4/1/90,40.02
3/1/90,40.02
2/1/90,40.02
1/1/90,40.02
12/1/89,40.02
11/1/89,40.02
10/1/89,40.02
9/1/89,40.02
8/1/89,36.7
7/1/89,35.12
6/1/89,34.52
5/1/89,34.1
4/1/89,34.06
3/1/89,33.87
2/1/89,33.07
1/1/89,33.19
12/1/88,33.05
11/1/88,32.99
10/1/88,32.95
9/1/88,33.01
8/1/88,32.88
7/1/88,32.02
6/1/88,31.33
5/1/88,31.01
4/1/88,30.96
3/1/88,30.92
2/1/88,30.87
1/1/88,30.84
12/1/87,30.78
11/1/87,30.53
10/1/87,30.47
9/1/87,30.14
8/1/87,29.77
7/1/87,29.5
6/1/87,29.28
5/1/87,29.04
4/1/87,28.96
3/1/87,28.8
2/1/87,28.75
1/1/87,28.61
12/1/86,28.53
11/1/86,28.51
10/1/86,28.47
9/1/86,28.36
8/1/86,28.23