Id,Disaster Name,Affected Month,Affected Year
1,Sri Lanka: Monsoon Floods,July,1984
2,Sri Lanka: Floods and Landslides,Feburary,1986
3,Sri Lanka: Dam Burst ,April,1986
4,Sri Lanka: Floods ,June,1989
5,Sri Lanka: Floods ,January,1990
6,Sri Lanka: Cyclone,November,1992
7,Sri Lanka: Floods,June,1993
8,Sri Lanka: Floods,December,1993
10,Sri Lanka: Floods,May,1995
11,Sri Lanka: Floods,October,1995
12,Sri Lanka: Floods,January,1999
13,Sri Lanka: Floods ,April,1999
14,Sri Lanka: Floods,November,2000
15,Tropical Cyclone 04B,December,2000
16,Sri Lanka: Drought,August,2001
17,Sri Lanka: Drought ,July,2002
18,Sri Lanka: Floods,December,2002
19,Sri Lanka: Floods ,May,2003
20,South Asia: Earthquake and Tsunami,December,2004
21,Sri Lanka: Floods,November,2005
22,Sri Lanka: Floods ,October,2006
23,Sri Lanka: Floods,December,2006
24,Sri Lanka: Flash Floods,January,2007
25,Sri Lanka: Floods ,May,2007
26,Sri Lanka: Floods,December,2007
27,Sri Lanka: Floods,March,2008
28,Sri Lanka: Flash Floods,June,2008
29,Sri Lanka: Floods,October,2008
30,Tropical Cyclone Nisha,November,2008
31,Influenza A (H1N1) Pandemic,April,2009
32,Sri Lanka: Flash Floods,August,2009
33,Sri Lanka: Dengue Outbreak,September,2009
34,Sri Lanka: Flash Floods,November,2009
35,Sri Lanka: Floods,May,2010
36,Sri Lanka: Floods,October,2010
37,Sri Lanka: Storm and Floods,November,2011
38,Sri Lanka: Severe Local Storm,March,2012
39,Sri Lanka: Drought,November,2012
40,Sri Lanka: Floods and Landslides,December,2012
41,Tropical Cyclone Mahasen,May,2013
42,Sri Lanka: Floods and Landslides,June,2014
43,Sri Lanka: Drought,August,2014
44,Sri Lanka: Floods and Landslides,December,2014
45,Sri Lanka: Floods and Landslides,September,2015
46,Sri Lanka: Floods and Landslides,May,2016
47,Tropical Cyclone Roanu,May,2016
48,Sri Lanka: Drought,October,2016
49,Sri Lanka: Floods and Landslides,May,2017
50,Sri Lanka: Dengue Outbreak,July,2017
51,Sri Lanka: Floods and Landslides,May,2018
52,Asia: Armyworm Infestation,July,2018
53,Sri Lanka: Floods,December,2018
54,Sri Lanka: Drought,January,2019
55,Tropical Cyclone Fani,April,2019
56,Sri Lanka: Dengue Outbreak,July,2019
57,Sri Lanka: Floods and Landslides,December,2019
58,Sri Lanka: Drought,March,2020
59,Tropical Cyclone Amphan,May,2020
60,Sri Lanka: Floods,December,2020
61,Tropical Cyclone Tauktae,May,2021
62,Sri Lanka: Floods and Landslides,May,2021
63,Tropical Cyclone Yaas,May,2021
64,Sri Lanka: Food Security Crisis,June,2022
65,Sri Lanka: Floods and Landslides,August,2022
66,Tropical Cyclone Mocha,May,2023
67,Sri Lanka: Dengue Outbreak,May,2023
68,Sri Lanka: Drought,August,2023
69,Southern Province Floods,October,2023